id_empleado,id_operacion,fecha_de_asignacion
8,98,2024-01-30 13:00:00
9,99,2024-02-28 09:00:00
5,99,2024-02-28 09:00:00
6,100,2024-03-30 10:00:00
7,100,2024-03-30 10:00:00
8,101,2024-04-29 16:00:00
9,101,2024-04-29 16:00:00
5,102,2024-05-30 13:00:00
6,102,2024-05-30 13:00:00
7,103,2024-06-29 09:00:00
8,103,2024-06-29 09:00:00
9,104,2024-07-30 11:00:00
5,104,2024-07-30 11:00:00
6,105,2024-08-30 16:00:00
7,105,2024-08-30 16:00:00
8,106,2024-09-29 12:00:00
9,106,2024-09-29 12:00:00
5,107,2024-10-30 10:00:00
6,107,2024-10-30 10:00:00
7,108,2024-11-29 11:00:00
8,108,2024-11-29 11:00:00
9,109,2024-12-14 13:00:00
5,109,2024-12-14 13:00:00
6,110,2024-12-29 13:00:00
7,110,2024-12-29 13:00:00
